attrib_1,attrib_2,attrib_3,attrib_4,attrib_5,attrib_6,outlier
0.074,0.9395,0.003,0.4355,0,0.8116,0
0.0346,0.2962,0.042,0.1791,0.0132,0.7916,0
0.0395,0.7182,0.009,0,0,0,0
0.0095,0.0064,0.1004,0.1497,0.018,0.6968,0
0.0268,0.0326,0.0075,0.2154,0,0.8242,0
0,0,0,0,0,0,0
0.0685,0.801,0.0135,0.219,0,0.5589,0
0.0266,0.0326,0.021,0.1281,0,0.8,0
0.0234,0.0382,0.0315,0.1486,0.0332,0.6674,0
0.042,0.0844,0.0075,0.1672,0.0912,0.6526,0
0.052,0.203,0.015,0,0,0,0
0.0278,0.1935,0.018,0.1097,0,0.4789,0
0.0434,0.3033,0.024,0.2444,0.0325,0.6516,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.0127,0.0032,0.0195,0.1403,0,0.8832,0
0.0213,0.0032,0.024,0,0,0,0
0.0284,0.0852,0.036,0.1879,0.0291,0.7063,0
0.0188,0.0127,0.027,0,0,0,0
0.0324,0.2205,0.012,0.0893,0,0.6758,0
0.032,0.1011,0.045,0.2047,0,0.6526,0
0.0224,0.0446,0.0375,0.1548,0,0.5989,0
0.0188,0.0032,0.039,0.1724,0,0.8084,0
0.0126,0.004,0.0075,0.0919,0.1409,0.5168,0
0,0,0,0,0,0,0
0.0249,0.0334,0.018,0.1963,0.0561,0.6547,0
0.0163,0.0064,0.021,0.1323,0.0445,0.7211,0
0.0374,0.0032,0.0105,0,0,0,0
0.0549,0.2261,0.0225,0.2139,0,0.6832,0
0.0183,0.0072,0.024,0,0,0,0
0,0,0,0,0,0,0
0.0547,0.2683,0.018,0.1603,0.0311,0.6811,0
0,0.004,0,0,0,0,0
0,0,0,0,0,0,0
0.036,0.0446,0.0045,0.1434,0,0.7074,0
0,0,0,0,0,0,0
0.0192,0.043,0.027,0,0,0,0
0.0212,0.0263,0.033,0.2109,0,0.6589,0
0.0265,0.0677,0.0555,0.2569,0,0.5747,0
0,0,0,0,0,0,0
0.0223,0.0111,0.0165,0.1268,0,0.6337,0
0.0205,0.0048,0.033,0,0,0,0
0.0184,0.0175,0.0345,0.1339,0.085,0.6,0
0.0218,0.0326,0.0195,0.1583,0,0.8179,0
0.0494,0.504,0.021,0,0,0,0
0,0,0,0,0,0,0
0.0553,0.0231,0.0135,0.1233,0,0.62,0
0.0276,0.0032,0.012,0.093,0.0672,0.7421,0
0,0,0,0,0,0,0
0.0389,0.1775,0.0075,0.2387,0,0.7063,0
0.0502,0.0032,0.021,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.0175,0.0494,0.084,0.0815,0.0158,0.8084,0
0.0265,0.0334,0.009,0.179,0,0.7,0
0.0503,0.5892,0.0045,0.2456,0,0.6221,0
0.0473,0.4156,0.003,0,0,0,0
0,0,0,0,0,0,0
0.0125,0.0159,0.096,0.1445,0,0.58,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.0266,0.0183,0.033,0.0949,0,0.66,0
0,0,0,0,0,0,0
0.0407,0.0032,0.015,0,0,0,0
0.0254,0.0231,0.0285,0.159,0,0.7916,0
0.0257,0.1067,0.0495,0.1109,0,0.6337,0
0.037,0.2078,0.0615,0.0579,0,0.6137,0
0,0,0,0,0,0,0
0.0332,0.0701,0.027,0.1101,0,0.7926,0
0,0,0,0,0,0,0
0.0156,0.0048,0.0285,0,0,0,0
0.0185,0.0127,0.054,0.1364,0.0336,0.6947,0
0.0189,0.0111,0.0075,0.1274,0,0.7832,0
0.0306,0.0247,0.021,0,0,0,0
0,0,0,0,0,0,0
0.0263,0.1218,0.1814,0,0,0,0
0,0,0,0,0,0,0
0.0262,0.0279,0.033,0.1181,0,0.6663,0
0.0289,0.0398,0.0105,0.1437,0,0.7221,0
0.021,0.0239,0.0285,0.0874,0.0398,0.8179,0
0.0386,0.1839,0.015,0.1917,0,0.6979,0
0.0298,0.0573,0.0045,0.1525,0.113,0.7032,0
0.0509,0.7182,0.0075,0.2136,0.0811,0.6853,0
0.0108,0.0064,0.0165,0.1867,0.114,0.6284,0
0.1676,0.0207,0.0015,0,0,0,0
0.0231,0.008,0.0495,0.1082,0,0.6874,0
0,0,0,0,0,0,0
0.0195,0.0207,0.0345,0,0,0,0
0,0,0,0,0,0,0
0.0591,1,0.0075,0.2213,0,0.5484,0
0.0502,0.1314,0.03,0,0,0,0
0.02,0.0151,0.0165,0.1558,0,0.7716,0
0,0,0,0,0,0,0
0.0902,0.0032,0.0015,0,0,0,0
0.013,0.0072,0.015,0,0,0,0
0.098,0.7213,0.006,0.2156,0,0.5589,0
0.0188,0.0199,0.018,0,0,0,0
0.0185,0.0119,0.027,0.1463,0.0386,0.6874,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.3119,0.0374,0.0015,0,0,0,0
0.0138,0.0056,0.0375,0.1208,0,0.6568,0
0,0,0,0,0,0,0
0.0283,0.0462,0.006,0,0,0,0
0.0213,0.0303,0.0135,0,0,0,0
0.0414,0.2683,0.024,0.1207,0.0358,0.6747,0
0.0134,0.0072,0.0705,0.1016,0,0.5895,0
0.0398,0.1632,0.006,0,0,0,0
0,0,0,0,0,0,0
0.0137,0.0032,0.0255,0,0,0,0
0.0304,0.0303,0.0285,0,0,0,0
0,0,0,0,0,0,0
0.0169,0.004,0.027,0.1399,0,0.7895,0
0.024,0.0422,0.0315,0.1901,0,0.6158,0
0,0,0,0,0,0,0
0.024,0.0318,0.0345,0.1553,0,0.6263,0
0.0267,0.0764,0.0435,0,0,0,0
0.021,0.0104,0.015,0.1803,0,0.6853,0
0.0382,0.125,0.03,0.1647,0.0407,0.7842,0
0,0,0,0,0,0,0
0.0567,0.0119,0.012,0,0,0,0
0.0811,0.5358,0.003,0.1621,0.1992,0.4421,0
0.028,0.0446,0.0225,0.2009,0,0.6884,0
0.0109,0.0048,0.0375,0.0902,0.0346,0.5726,0
0.0353,0.0788,0.015,0.0847,0.0298,0.5726,0
0.0227,0.0247,0.0345,0.0953,0,0.78,0
0.0458,0.41,0.042,0,0,0,0
0.0322,0.0318,0.033,0.2427,0,0.6347,0
0.0396,0.0048,0.0105,0,0,0,0
0.1555,0.0032,0.0015,0,0,0,0
0.0307,0.1035,0.018,0.0942,0,0.6116,0
0.0095,0.0342,0.2444,0.0815,0,0.7179,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.0158,0.0119,0.0105,0,0,0,0
0.0614,0.1131,0.015,0.1424,0,0.5905,0
0.0282,0.0605,0.012,0.1785,0,0.6947,0
0,0,0,0,0,0,0
0.0135,0.0151,0.075,0.1028,0.0148,0.6905,0
0,0,0,0,0,0,0
0.0595,0.3806,0.0045,0,0,0,0
0.019,0.0247,0.078,0.1591,0,0.6632,0
0.0159,0.0032,0.0135,0.2541,0.0967,0.6084,0
0.0275,0.0223,0.012,0.3064,0.1055,0.5347,0
0.0668,0.9626,0.006,0,0,0,0
0.0165,0.0111,0.015,0.0396,0.1216,0.6621,0
0.0136,0.008,0.0705,0.2502,0.0412,0.5884,0
0,0,0,0,0,0,0
0.0214,0.0072,0.0315,0,0,0,0
0,0,0,0,0,0,0
0.0254,0.0143,0.03,0.207,0.0285,0.7516,0
0,0,0,0,0,0,0
0.0169,0.0088,0.0645,0.1907,0,0.6453,0
0.0205,0.0064,0.021,0.1301,0,0.7042,0
0.0385,0.7436,0.051,0.113,0.0752,0.3621,0
0.0279,0.0502,0.0045,0.0858,0,0.7074,0
0.0365,0.2277,0.0225,0.2091,0.0551,0.6442,0
0.1073,0.0032,0.0075,0,0,0,0
0,0,0,0,0,0,0
0.0666,0.2022,0.006,0.153,0.0948,0.4568,0
0.0314,0.1067,0.024,0.1575,0,0.6832,0
0.0345,0.0581,0.0375,0.1618,0.0131,0.7063,0
0.0346,0.008,0.0225,0.2109,0,0.7863,0
0.0199,0.0088,0.0135,0.1853,0,0.7168,0
0.0312,0.0326,0.0225,0.1727,0.0341,0.7505,0
0.0532,0.0032,0.0165,0,0,0,0
0.061,0.5247,0.006,0.1598,0.0513,0.4379,0
0.0111,0.0088,0,0,0,0,0
0.04,0.0979,0.018,0.1764,0,0.6937,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.0449,0.1226,0.015,0,0,0,0
0.0191,0.039,0.0795,0.2689,0,0.6189,0
0.0329,0.0462,0.021,0,0,0,0
0.0106,0.0032,0.0345,0,0,0,0
0.2012,0.0048,0.0015,0,0,0,0
0.0394,0.0725,0.0255,0.1701,0.0213,0.7895,0
0.0145,0.0143,0.0225,0.1164,0,0.6737,0
0,0,0,0,0,0,0
0.0617,0.9697,0.0135,0.1742,0,0.4547,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.047,0.3225,0.0105,0.197,0,0.7937,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.0203,0.0438,0.0285,0.1031,0.0402,0.8095,0
0,0,0,0,0,0,0
0.0267,0.1226,0.03,0.2524,0,0.6042,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.0141,0.004,0.0465,0.1425,0,0.6474,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.0345,0.1433,0.0075,0.0829,0,0.6947,0
0.0528,0.0916,0.015,0.1139,0.0497,0.7274,0
0.0327,0.0032,0.003,0,0,0,0
0.0709,0.992,0.009,0.1942,0.041,0.4695,0
0.0209,0.0549,0.0375,0.1644,0.0379,0.7221,0
0.0572,0.9721,0.0405,0.164,0,0.5105,0
0,0,0,0,0,0,0
0.0381,0.1799,0.0315,0.1806,0,0.6705,0
0.0362,0.0382,0.018,0,0,0,0
0.029,0.0852,0.015,0,0,0,0
0.0286,0.0406,0.0195,0,0,0,0
0.0141,0.004,0.075,0.1665,0,0.5147,0
0.0294,0.0406,0.027,0.1569,0.0378,0.7158,0
0,0,0,0,0,0,0
0.0329,0.1441,0.018,0.1308,0.0631,0.6347,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.013,0.0088,0.024,0.1431,0,0.7726,0
0.0251,0.0382,0.027,0.1306,0,0.6,0
0.0546,0.1043,0.03,0.2568,0.032,0.74,0
0.0246,0.0533,0.018,0.1964,0.0527,0.7611,0
0.054,0.0032,0.024,0,0,0,0
0.0482,0.0032,0.0165,0,0,0,0
0.0198,0.008,0.015,0,0,0,0
0.0948,0.0032,0.0015,0,0,0,0
0,0,0,0,0,0,0
0.0312,0.1847,0.009,0.2814,0.1319,0.7305,0
0.0116,0.004,0.033,0,0,0,0
0,0,0,0,0,0,0
0.0292,0.0971,0.0525,0.1874,0.1053,0.5063,0
0.0256,0.0446,0.0435,0.1245,0.0263,0.7337,0
0.0533,0.258,0.009,0,0,0,0
0.0258,0.0533,0.0135,0,0,0,0
0.0184,0.0096,0.024,0.174,0,0.7305,0
0.0219,0.0127,0.0645,0.1231,0.0218,0.7653,0
0.0244,0.0183,0.03,0,0,0,0
0.0469,0.3352,0.006,0,0,0,0
0.0449,0.586,0.015,0.1804,0,0.8474,0
0.0256,0.0613,0.0285,0.1328,0.0248,0.6768,0
0.0291,0.0072,0.012,0,0,0,0
0,0,0,0,0,0,0
0.0119,0.0502,0.0345,0.185,0.044,0.6758,0
