'att1','att2','att3','att4','att5','att6','att7','att8','att9','att10',outlier
0.00498132,0.010869565,1.94E-04,0.002594075,0.367088608,0.634328358,2.68E-04,2.12E-04,3.47E-04,0.001557147,0
0.00622665,0.010869565,2.43E-04,0.002160177,0.397679325,0.873134328,5.25E-04,3.33E-04,6.50E-04,0.001245718,0
0.00622665,0.030797101,7.01E-04,0.005573629,0.247890295,0.723880597,6.92E-04,7.27E-04,0.001582622,0.001868577,0
0.00498132,0.010869565,1.94E-04,0.002594075,0.33649789,0.726012793,6.72E-04,1.82E-04,4.12E-04,6.23E-04,0
0.00622665,0.003623188,7.64E-05,9.18E-04,0.47257384,0.940298507,2.52E-04,6.06E-05,2.17E-04,9.34E-04,0
0.00498132,0.012681159,2.29E-04,0.002966519,0.525316456,1,2.91E-04,4.54E-04,7.15E-04,0.002491436,0
0.00622665,0.005434783,1.18E-04,0.001229066,0.385021097,0.68869936,3.03E-04,9.09E-05,2.17E-04,9.34E-04,0
0.00498132,0.009057971,1.60E-04,0.00222163,0.296413502,0.28891258,0.001816714,9.09E-05,6.50E-05,0,0
0.00498132,0.007246377,1.25E-04,0.001849186,0.367088608,0.488272921,0.001816714,9.09E-05,1.30E-04,0,0
0.00498132,0.010869565,1.94E-04,0.002594075,0.457805907,0.908315565,0.001513928,3.03E-04,5.42E-04,3.11E-04,0
0.00498132,0.001811594,2.08E-05,7.32E-04,0.789029536,1,0.001413,3.03E-05,6.50E-05,0,0
0.00498132,0.003623188,5.56E-05,0.001104297,0.507383966,0.715351812,0.001413,3.03E-05,8.67E-05,0,0
0.00498132,0.009057971,1.60E-04,0.00222163,0.401898734,0.715351812,0.002422285,1.82E-04,3.25E-04,0,0
0.00498132,0.010869565,1.94E-04,0.002594075,0.397679325,0.847547974,8.07E-04,2.42E-04,4.99E-04,6.23E-04,0
0.00622665,0.010869565,2.43E-04,0.002160177,0.372362869,0.873134328,6.56E-04,3.03E-04,6.50E-04,9.34E-04,0
0.00498132,0.012681159,2.29E-04,0.002966519,0.3407173,0.440298507,0.002825999,2.42E-04,2.60E-04,0,0
0.00622665,0.010869565,2.43E-04,0.002160177,0.372362869,0.948827292,6.56E-04,3.03E-04,7.15E-04,9.34E-04,0
0.00498132,0.032608696,6.11E-04,0.007063407,0.189873418,0.360341151,9.08E-04,4.54E-04,6.72E-04,9.34E-04,0
0.00498132,0.007246377,1.25E-04,0.001849186,0.367088608,0.530916844,8.07E-04,9.09E-05,1.52E-04,3.11E-04,0
0.00373599,0.009057971,1.18E-04,0.002780297,0.385021097,0.466950959,0.001816714,9.09E-05,1.08E-04,0,0
0.00373599,0.009057971,1.18E-04,0.002780297,0.428270042,0.778251599,9.08E-04,1.21E-04,2.60E-04,3.11E-04,0
0.00373599,0.030797101,4.51E-04,0.008366962,0.208860759,0.496801706,3.17E-04,3.33E-04,6.72E-04,0.001868577,0
0.00622665,0.010869565,2.43E-04,0.002160177,0.321729958,0.518123667,0.001312071,2.42E-04,3.47E-04,3.11E-04,0
0.00498132,0.010869565,1.94E-04,0.002594075,0.397679325,0.878464819,3.03E-04,2.42E-04,5.20E-04,0.001557147,0
