Dim_1,Dim_2,Dim_3,outlier
0.001096,0.004813,0.006056,0
0.001096,0.006695,0.00613,0
0,0.003904,0.006075,0
0.001096,0.006121,0.005983,0
0.001096,0.006803,0.006001,0
0,0.005623,0.006075,0
0,0.013422,0.006056,0
0,0.004127,0.00613,0
0,0.002309,0.006075,0
0,0.009546,0.006075,0
0,0.004016,0.006019,0
0,0.006643,0.006038,0
0.001096,0.003581,0.006093,0
0.001096,0.00437,0.006019,0
0,0.006113,0.005154,0
0,0.004833,0.006019,0
0,0.00453,0.005154,0
0,0.002883,0.005964,0
0,0.002995,0.005136,0
0,0.003581,0.005117,0
0,0.004745,0.005099,0
0,0.003015,0.005154,0
0,0.004753,0.006038,0
0,0.003346,0.006148,0
0,0.006448,0.006038,0
0,0.002472,0.006056,0
0,0.004745,0.006075,0
0.001096,0.00512,0.006056,0
0,0.004163,0.005983,0
0,0.002468,0.006038,0
0,0.00331,0.006056,0
0.001096,0.003968,0.005946,0
0,0.002576,0.006075,0
0,0.013422,0.006038,0
0,0.00321,0.006019,0
0,0.002369,0.006148,0
0,0.004275,0.007345,0
0,0.005168,0.006111,0
0,0.004079,0.006038,0
0,0.005575,0.005964,0
0,0.003358,0.005136,0
0,0.005459,0.005099,0
0,0.004386,0.006075,0
0,0.004402,0.00613,0
0,0.004279,0.00613,0
0,0.00258,0.006019,0
0,0.005973,0.005154,0
0,0.004043,0.006019,0
0,0.007082,0.005117,0
0,0.004717,0.006075,0
0,0.003011,0.006001,0
0,0.005375,0.006038,0
0,0.005339,0.006075,0
0.001096,0.005878,0.006075,0
0,0.00376,0.006093,0
0,0.004757,0.006038,0
0,0.003952,0.006093,0
0.001096,0.004729,0.005136,0
0,0.005124,0.006075,0
0,0.003433,0.006019,0
0,0.002763,0.006075,0
0,0.003776,0.006056,0
0.001096,0.007557,0.005117,0
0,0.005483,0.006038,0
0,0.003549,0.006056,0
0,0.004622,0.006038,0
0,0.016541,0.006075,0
0,0.002241,0.005983,0
0,0.003824,0.005191,0
0,0.017242,0.005191,0
0,0.004705,0.005117,0
0.001096,0.006181,0.006001,0
0,0.005256,0.006075,0
0,0.003772,0.006075,0
0,0.002393,0.005154,0
0.001096,0.003194,0.006056,0
0,0.016238,0.005117,0
0,0.00272,0.006019,0
0,0.003449,0.006019,0
0,0.006691,0.006111,0
0.001096,0.003904,0.006075,0
0,0.005,0.005946,0
0,0.004889,0.005191,0
0,0.004729,0.006019,0
0.001096,0.006867,0.006056,0
0,0.004562,0.006001,0
0.001096,0.002871,0.006019,0
0,0.003302,0.005173,0
0,0.005216,0.005191,0
0,0.004506,0.006001,0
0,0.007178,0.006056,0
0.001096,0.009542,0.006056,0
0,0.004797,0.006093,0
0,0.003832,0.006019,0
0,0.010978,0.005154,0
0,0.004378,0.005154,0
0,0.003673,0.005154,0
0,0.002648,0.005081,0
0,0.002672,0.005173,0
0,0.006424,0.005927,0
0.001096,0.007062,0.006056,0
0,0.002688,0.006093,0
0,0.005515,0.006075,0
0,0.005997,0.006038,0
0.001096,0.008529,0.006075,0
0,0.002795,0.006019,0
0,0.005004,0.005817,0
0,0.002086,0.005099,0
0,0.005367,0.005154,0
0,0.003465,0.006167,0
0.001096,0.00589,0.007216,0
0,0.010627,0.005191,0
0,0.005032,0.005173,0
0.001096,0.007098,0.005191,0
0,0.002831,0.005964,0
0,0.009941,0.005154,0
0,0.00333,0.006075,0
0,0.002724,0.006075,0
0,0.004721,0.005099,0
0,0.002759,0.006056,0
0,0.006013,0.006443,0
0.001096,0.007716,0.005835,0
0,0.006779,0.005983,0
0.001096,0.004721,0.005191,0
0,0.004801,0.005081,0
0,0.005583,0.005983,0
0,0.002971,0.006093,0
0,0.003776,0.006093,0
0,0.002967,0.006001,0
0,0.01623,0.005081,0
0,0.005168,0.005983,0
0.001096,0.006364,0.006056,0
0,0.003246,0.005946,0
0,0.00309,0.006093,0
0,0.004753,0.006038,0
0.001096,0.005411,0.007492,0
0,0.005371,0.006167,0
0,0.003876,0.006038,0
0,0.003605,0.006038,0
0,0.07864,0.006756,0
0,0.004626,0.006038,0
0.001096,0.006803,0.005964,0
0,0.003354,0.00613,0
0.001096,0.003106,0.006019,0
0.001096,0.003421,0.006682,0
0.001096,0.062817,0.025882,0
0.001096,0.014471,0.006756,0
0.001096,0.006675,0.006038,0
0.001096,0.006021,0.0074,0
0.001096,0.007612,0.008817,0
0,0.005674,0.006148,0
0.002193,0.006891,0.006056,0
0.001096,0.005252,0.006019,0
0,0.038389,0.006019,0
0.001096,0.006328,0.006056,0
0,0.00311,0.006001,0
0.001096,0.006356,0.006167,0
0.001096,0.006412,0.006701,0
0,0.009387,0.005964,0
0.001096,0.006113,0.006038,0
0.001096,0.015731,0.005964,0
0,0.003545,0.006056,0
0.001096,0.005902,0.006829,0
0.001096,0.004578,0.006019,0
0.001096,0.004853,0.007566,0
0,0.005016,0.006222,0
0.001096,0.003876,0.006204,0
0,0.006484,0.006148,0
0.002193,0.062893,0.026379,0
0.001096,0.002568,0.006277,0
0.001096,0.014319,0.006222,0
0.001096,0.007154,0.006903,0
0,0.005495,0.006903,0
0.001096,0.002979,0.006167,0
0.001096,0.006137,0.006185,0
0.001096,0.006085,0.007547,0
0,0.003437,0.006185,0
0,0.004578,0.006185,0
0.001096,0.003904,0.006111,0
0.001096,0.006269,0.006204,0
0,0.008003,0.006185,0
0.001096,0.012701,0.00613,0
0.001096,0.006396,0.006185,0
0,0.006364,0.006093,0
0,0.004849,0.006682,0
0.001096,0.004849,0.007437,0
0,0.004558,0.006001,0
0.001096,0.00388,0.006111,0
0.001096,0.005096,0.006111,0
0.001096,0.006312,0.006038,0
0.002193,0.062741,0.025569,0
0.001096,0.006683,0.006111,0
0.001096,0.005706,0.006019,0
0,0.006185,0.006111,0
0,0.006352,0.006056,0
0.001096,0.006998,0.006093,0
0.001096,0.005782,0.008081,0
0.001096,0.002971,0.006019,0
0.001096,0.006057,0.007308,0
0.001096,0.00311,0.006001,0
0,0.005491,0.006093,0
0,0.005451,0.006167,0
0,0.002676,0.006093,0
0.001096,0.012697,0.006001,0
0.001096,0.007265,0.006075,0
0,0.005754,0.006204,0
0.001096,0.004494,0.006019,0
0,0.002883,0.007455,0
0,0.003174,0.007382,0
0,0.004769,0.008265,0
0,0.004773,0.009333,0
0,0.003601,0.007529,0
0,0.00209,0.007382,0
0,0.005443,0.007382,0
0,0.004219,0.0074,0
0,0.01481,0.007234,0
0,0.004163,0.007418,0
0,0.011448,0.007382,0
0,0.003126,0.0074,0
0,0.003649,0.007382,0
0,0.003625,0.007418,0
0,0.062781,0.034405,0
0,0.00246,0.007455,0
0,0.007656,0.007179,0
0,0.003529,0.007492,0
0,0.005874,0.007455,0
0,0.006899,0.009333,0
0,0.01607,0.009388,0
0,0.005543,0.007198,0
0,0.006468,0.008357,0
0,0.004769,0.007308,0
0,0.004462,0.007234,0
0,0.006173,0.007437,0
0,0.005953,0.007234,0
0,0.005555,0.009296,0
0,0.005024,0.007179,0
0,0.004833,0.008357,0
0,0.006053,0.007455,0
0,0.005834,0.008265,0
0,0.004697,0.007418,0
0,0.006795,0.007382,0
0,0.002807,0.007382,0
0,0.002875,0.007474,0
0,0.003358,0.007455,0
0,0.01485,0.007418,0
0,0.004677,0.007418,0
0,0.011074,0.007198,0
0,0.017083,0.007308,0
0,0.007293,0.007234,0
0,0.006097,0.0074,0
0,0.003697,0.007382,0
0,0.01623,0.007492,0
0,0.003082,0.0074,0
0,0.025461,0.007345,0
0,0.00701,0.007363,0
0,0.004729,0.0074,0
0,0.003828,0.007382,0
0,0.003015,0.007308,0
0,0.005308,0.0074,0
0,0.00634,0.008394,0
0,0.00587,0.007382,0
0,0.009179,0.007547,0
0,0.004151,0.007492,0
0,0.00967,0.007326,0
0,0.009116,0.007418,0
0,0.01278,0.008339,0
0,0.00717,0.0074,0
0,0.0063,0.007418,0
0,0.054858,0.0074,0
0,0.003441,0.006093,0
0.001096,0.005104,0.006148,0
0.001096,0.006328,0.006111,0
0,0.005938,0.006019,0
0,0.002572,0.006185,0
0.001096,0.063008,0.026802,0
0,0.014323,0.00613,0
0.001096,0.005714,0.006056,0
0,0.003441,0.00613,0
0,0.002476,0.00613,0
0,0.006189,0.00613,0
0.001096,0.005662,0.007547,0
0.001096,0.004933,0.006111,0
0,0.003784,0.006056,0
0,0.004809,0.006038,0
0.001096,0.006276,0.00613,0
0,0.002189,0.006111,0
0,0.009379,0.005964,0
0,0.007273,0.006111,0
