'att3','att4','att5','att6','att7','att8','att9','att10','att11','att12','att13','att14','att15','att16','att17','att18','att19','att20','att21','att22','att23','att24','att25','att26','att27','att28','att29','att30','att31','att32',outlier
0.462904688,0.559751037,0.509240089,0.337530137,0.526044958,1,0.773125609,0.719811814,0.852644088,0.664920273,1,0.462738685,1,0.900203694,0.530837114,0.554000077,0.207878788,0.572835764,0.26638547,0.177825684,0.473015873,0.659274194,0.521493655,0.341380215,0.612145561,0.844221192,0.493690096,0.858737356,0.632766272,0.499946461,1
0.372233186,0.304564315,0.365309409,0.245861238,0.514308928,0.371618382,0.238291139,0.27422896,0.503862151,0.215261959,0.265565438,0.099363508,0.192886895,0.197801747,0.231240963,0.235607021,0.078762626,0.254214813,0.213420389,0.062193386,0.335714286,0.337701613,0.32248868,0.210181055,0.618326509,0.515086764,0.256309904,0.479246599,0.555473373,0.260841632,1
0.353565523,0.633609959,0.339391151,0.235306724,0.381420962,0.225087323,0.209956183,0.234657606,0.326203209,0.156264237,0.292249047,0.205489745,0.224714301,0.248383437,0.207359027,0.121250528,0.066843434,0.187933321,0.098438012,0.050447052,0.35952381,0.78125,0.325283694,0.236584886,0.427489763,0.287794455,0.253115016,0.412975235,0.401257396,0.200878038,1
0.699183956,0.587136929,0.697109117,0.591213501,0.499864584,0.563043627,0.555744888,0.669106116,0.70647653,0.520273349,0.813638289,0.305604668,0.752643384,0.847571395,0.311661764,0.432730345,0.193156566,0.366736124,0.343232989,0.173887208,0.625,0.585013441,0.605903069,0.495539229,0.490844472,0.537316262,0.393929712,0.670735961,0.639053254,0.422743334,1
0.723718598,0.462655602,0.720880301,0.623894991,0.469170353,0.52914184,0.507546251,0.69106116,0.633986928,0.242824601,0.497331639,0.139210573,0.421766528,0.55351406,0.142842898,0.229557937,0.101136364,0.269179769,0.191463955,0.061986098,0.649603175,0.452284946,0.613729107,0.532602991,0.429807618,0.493201909,0.354073482,0.749215208,0.558801775,0.219295428,1
0.590378154,0.267219917,0.585921325,0.46209483,0.486323012,0.668515855,0.40993184,0.564558285,0.648841355,0.338952164,0.736213469,0.042057107,0.593185945,0.874912849,0.310465174,0.539021393,0.117626263,0.39211972,0.315305946,0.212788303,0.573809524,0.231518817,0.557269831,0.467331409,0.592057483,0.923833813,0.302396166,0.733170562,0.80806213,0.595245744,1
1,0.321576763,1,1,0.562155818,0.742825834,0.819863681,1,0.53238265,0.213211845,0.74824227,0.108446782,0.690483819,1,0.232138406,0.385777931,0.107727273,0.285660163,0.26600027,0.086031535,1,0.38844086,1,1,0.63223364,0.976047285,0.515255591,0.961283572,0.785502959,0.352714423,1
0.487972692,0.339004149,0.484702093,0.35558532,0.463753724,0.467502226,0.329600779,0.405227392,0.557338087,0.302961276,0.188479458,0.071936881,0.152301613,0.192948639,0.123248741,0.253754273,0.067272727,0.171756014,0.144276882,0.10095629,0.487301587,0.512096774,0.460003354,0.352860142,0.567333694,0.9531285,0.421246006,0.650156958,1,0.729093051,1
0.453837538,0.425726141,0.449428725,0.322100188,0.572086305,0.468529553,0.460321324,0.47637219,0.516339869,0.355125285,0.453621347,0.214550919,0.418455623,0.410860025,0.27701052,0.259515305,0.125555556,0.310475469,0.172974326,0.115293727,0.526587302,0.584341398,0.512549611,0.385003936,0.748899019,0.627268184,0.443530351,0.739797698,0.599482249,0.499946461,1
0.972798549,0.630705394,0.979296066,0.9292794,0.484517469,0.846243408,0.812804284,0.964453738,0.456922163,0.363781321,0.665650148,0.246154526,0.707572359,0.77374947,0.321733061,0.525002881,0.14469697,0.384542527,0.021397893,0.172678026,0.875793651,0.725806452,0.901615518,0.779585411,0.665456231,1,0.517252396,1,0.291789941,0.534211372,1
